,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
199f4404-8c31-4897-80aa-dddfa0ae471b,28822,-152,508,1984,-302000,-284100,-180100,-463,78,-297,2053.64,14.96,106.66
1f680e5e-7a7d-4d82-ba7f-5ce0451284fe,28847,123,-153,1274,-163500,52600,-59900,-196,8,-521,1289.04,8.76,-51.2
a5a20c44-8711-4fba-9c4d-41e37b26722a,28866,1,170,1998,61400,22800,59600,-90,21,-558,2005.22,4.86,89.66
a6c6deec-2ad1-4b62-9fdb-bab686ef383d,28884,713,-913,1998,732600,717800,156300,-486,241,-159,2309.53,30.1,-52.01
affd10c0-652e-41c9-a9ca-1415d7142cb0,28903,-1041,253,-1000,-359500,-45700,-136700,-402,174,214,1465.5,133.03,166.34
5ee1a083-9f0c-49d2-a378-b0fda4834d9e,28922,-782,-104,-97,426300,-139300,-14500,-423,177,206,794.83,97.01,-172.42
fdaa7875-4023-4d9e-813a-81aa9b61f717,28941,-1036,1997,1998,-160600,10700,58000,-466,220,101,3008.87,48.39,117.42
4c47e55b-f9f3-4b05-9bf6-4368c36be288,28959,281,-1252,-1997,-284400,-146300,47800,-195,211,328,2373.7,147.28,-77.35
1f02a65c-4af8-43d4-9302-c45a9e61ffc2,28978,-729,188,1079,583000,94500,-100800,-396,286,175,1315.68,34.9,165.54
e1128d3f-28a5-4363-9d7a-7062e15cb392,29003,-1818,1636,1645,54700,-68600,-144400,-303,372,203,2947.48,56.08,138.02
06f39a0c-09b0-4b92-9523-247651eaebb1,29022,-876,-430,-916,-132500,-183100,38700,-12,423,250,1338.41,133.19,-153.86
fd7fc1d1-bfc8-4538-b55d-c483fb7808df,29041,-1010,-118,-227,-2300,30100,3100,-72,462,217,1041.9,102.58,-173.34
b7930d42-58f7-4fc8-a826-f27f5ab390c1,29059,-945,-131,-257,39400,22100,-12000,-57,445,235,988.05,105.08,-172.11
5595cfc8-6ebb-44d9-8ba4-ec88e0cc588a,29078,-932,-133,-210,-19500,-1900,6200,-63,448,233,964.58,102.57,-171.88
5fcd7e73-d958-4b7d-9e87-bdb4ac37dc06,29097,-964,-159,-256,9200,-3900,-1000,-63,450,236,1010.01,104.68,-170.63
7de246e9-1c0b-4e39-b1fd-25bd79176545,29122,-956,-173,-272,-4500,-4700,-1800,-45,457,232,1008.89,105.64,-169.74
420af7a9-570f-49a9-bcca-3cb6d2a21ed3,29141,-945,-147,-244,-1600,5700,0,-54,447,236,987.0,104.31,-171.16
01ffeb9e-7018-4755-90b9-5cbe2fbf0225,29159,-937,-145,-245,800,1300,200,-51,447,235,979.3,104.49,-171.2
016d3c08-5a75-4d31-a402-eac70b40c89c,29178,-950,-144,-236,-4700,-9700,4500,-57,451,239,989.41,103.8,-171.38
0d8f0fb9-f913-4284-baba-1586e18a7741,29197,-940,-141,-223,1700,100,-2300,-58,450,229,976.32,103.2,-171.47
7b6165da-19c8-4a8f-9141-3410ac3bd068,29216,-1961,499,-593,-168000,-139200,310100,-81,444,230,2108.59,106.33,165.72
b1e8dacb-be79-4f77-a8c8-fedeb16ef0f8,29234,-362,117,1998,568100,-112500,-38400,-439,337,-171,2033.9,10.78,162.09
1c9f72e4-a785-4f0a-9b73-750ca0511662,29259,321,-1360,-44,292200,-25900,-172300,-487,279,-12,1398.06,91.8,-76.72
4d6bed09-450e-45bf-b0f8-d77ab049418a,29278,-796,340,498,63400,-66400,-103200,-406,412,-53,998.61,60.09,156.87
6704bc9b-1613-4ff2-9e4f-49d158a23d89,29297,-1236,360,320,-7900,-38400,-25800,-337,483,-69,1326.54,76.04,163.76
72fa7f68-4761-49e4-82ca-bf4f63188a91,29316,-1998,1661,812,136100,165900,468200,-441,375,-20,2722.18,72.65,140.26
4e6e655b-1f78-43c7-b611-1f061b07a577,29334,1998,-1998,1895,105200,99100,-38200,-384,-169,104,3402.21,56.15,-45.0
b65513fd-641f-47f6-aa3c-ad8f5d5ecc6b,29353,-1998,9,30,-24100,-309400,-370700,-325,391,164,1998.25,89.14,179.74
4fef0629-a514-4521-9e01-52e942b4b884,29372,-1502,170,-616,16200,10900,4700,-138,537,100,1632.29,112.17,173.54
634f38d8-5071-406e-b360-e75cdbb0e43c,29391,-977,-157,35,-20100,35700,26600,-180,495,140,990.15,87.97,-170.87
cb820367-d906-4102-a0af-9e09b8f971e0,29409,-875,-1008,-1710,-176700,38000,-19200,-222,481,136,2169.28,142.03,-130.96
fb53fa6f-b11f-401c-8c17-17ed5f77bd38,29428,-844,505,1507,-59200,191700,104900,-384,427,48,1799.56,33.13,149.11
f51d8ba7-c0a9-4737-9831-8de784c23286,29453,-731,-24,-521,126000,10100,-6300,-324,366,202,897.99,125.46,-178.12
e77f4b2f-8820-40eb-82ab-9e0eb315048e,29472,355,-875,1152,-188700,-560100,-492300,-96,-327,-341,1489.55,39.34,-67.92
2a5343e2-6ead-477f-9644-ebf40dc41e51,29491,338,115,628,-53200,7800,-33300,-279,-222,-351,722.39,29.62,18.79
49351234-d69c-40fc-aa5c-91dde491176f,29509,649,27,663,-13600,96700,14200,-265,-199,-387,928.17,44.41,2.38
913af1d1-3e9c-44b9-bf63-3d338a846ce1,29528,-1998,652,1998,242100,1346000,84900,-334,447,-161,2899.85,46.45,161.93
3ed997ba-5734-4d90-b6ed-485730c3f3d9,29547,-19,-24,-739,62500,2800,-74600,-267,103,311,739.63,177.63,-128.37
9a0e19df-42e7-4f2e-b595-735e5b591c59,29572,-322,0,-906,-1000,-5600,0,-226,106,322,961.52,160.43,180.0
c78e233e-a335-4686-b923-f9e7d76d6775,29591,-329,19,-874,1500,3800,7100,-220,111,334,934.07,159.34,176.69
97b8593b-ae3b-4d59-b2f9-a7219400bbfd,29609,-350,17,-885,300,200,1400,-216,118,331,951.85,158.4,177.22
18ae58d5-e997-46df-ae02-cc1b627da403,29628,-404,19,-871,-400,-4600,12300,-217,127,340,960.32,155.09,177.31
1875f555-6a04-4db8-b3e4-c3252636cb71,29647,-376,11,-890,-500,0,-3600,-220,123,332,966.23,157.09,178.32
ad424979-59f3-41f0-a80e-4da20b5f4818,29666,-368,4,-871,5200,7500,-5100,-216,121,334,945.56,157.09,179.38
12ffbd7e-08e6-498d-919d-15b19cde6a31,29684,-360,-24,-892,7300,8300,-3400,-216,115,338,962.21,157.98,-176.19
0ea61230-faa9-4603-a99d-dcd419646aef,29709,-394,3,-629,21400,-136300,-30000,-183,156,341,742.22,147.94,179.56
be23d61a-7778-4015-bf4a-d7a1aa907083,29728,-1246,153,-386,-61600,-346900,79600,-262,436,161,1313.36,107.09,173.0
f046e0a1-82ca-41f7-aa0e-ae57db32265b,29747,-1081,203,144,55100,-116200,8800,-294,496,19,1109.28,82.54,169.36
a945ced4-3135-487c-bd38-dd87382dd4a7,29766,-910,302,492,-4200,-127400,55700,-339,469,-110,1077.67,62.84,161.64
9270e921-6893-4b3f-a0e6-88a58eef225d,29784,-573,322,671,10700,-108300,24800,-373,388,-228,939.28,44.41,150.67
e595b06f-9c92-4018-b671-fa59d998d35d,29803,-407,492,889,13300,-96500,40800,-399,318,-288,1094.55,35.69,129.6
9867fd4f-ad35-40f5-9aee-8abef40cb2e9,29822,-104,452,842,14100,-53500,19100,-417,234,-320,961.29,28.85,102.96
5b5a5c9e-0f20-451c-b04b-cbc665e10502,29841,103,552,966,10900,-108500,63300,-432,124,-327,1117.35,30.17,79.43
b4db6e56-c11c-463c-842b-a63a789bbf12,29859,439,591,800,24800,-108600,40400,-447,15,-312,1087.2,42.62,53.39
b449c666-0b15-465d-941f-2433931983a3,29884,655,557,520,52600,-86900,8200,-460,-88,-207,1004.83,58.84,40.38
d0ff225b-cc1e-4432-b935-c1d0989e585d,29903,642,538,325,28800,-73300,24000,-460,-120,-138,898.46,68.79,39.96
2431c199-68f6-482a-8ffb-ec72d071424d,29922,924,517,200,25900,-47900,41800,-438,-163,-71,1077.53,79.3,29.23
b3fe31b6-67c2-42fb-bb9e-061ad0daee74,29941,850,461,-20,42500,-43600,12000,-418,-174,-5,967.17,91.18,28.47
57963664-e75f-4990-bc25-c3a98b9c2e15,29959,888,466,-132,36100,-18600,2700,-400,-160,55,1011.5,97.5,27.69
05970fe9-fdbb-4b55-b372-68db5b639e7c,29978,896,474,-94,31400,3500,-16200,-399,-157,85,1018.0,95.3,27.88
9bce5d5e-2a76-4362-800c-83e9729f9fa3,30003,816,481,-88,38300,55300,-21000,-394,-145,115,951.29,95.31,30.52
98a8ebb9-a1e8-4ed2-8be9-d70008a0fce7,30022,888,486,-162,31300,24600,-9100,-367,-154,124,1025.18,99.09,28.69
17c32980-8fb2-4ddc-b828-95a433dae685,30041,940,578,4,52700,100600,-11600,-360,-189,112,1103.49,89.79,31.59
15f15165-5433-4ea8-8289-67e43546b5b2,30059,894,569,75,44200,87200,-31300,-345,-207,94,1062.37,85.95,32.48
