,ticks,raw_i,raw_j,raw_k,norm_w,norm_i,norm_j,norm_k,roll,pitch,yaw
4e5dd9a2-b1d6-4ec5-a8d9-e190cb460fb1,-11485,3641,-2326,-1227,0.01,0.81,-0.52,-0.27,160.29,25.4,-69.63
b964da48-a0eb-4b92-b8c3-aa68ff2116d5,-11465,2535,-4886,-4513,0.01,0.36,-0.69,-0.63,102.55,25.67,-145.86
7f297a41-440a-443b-bbff-3dd062e62753,-11446,4102,-5618,-2500,0.01,0.55,-0.76,-0.34,145.55,20.79,-114.24
35880f73-e3e1-400a-bdfc-ea1c9e61930c,-11426,4498,-4981,-1321,0.01,0.66,-0.73,-0.19,162.1,13.56,-97.98
d177a3eb-6163-49ea-91d9-f151d035a093,-11409,5238,-1657,1532,0.01,0.92,-0.29,0.27,-171.25,-30.07,-37.46
ac1fd507-7f7d-4c21-ae4b-c11500634777,-11389,5701,188,3296,0.01,0.87,0.03,0.5,174.1,-59.88,7.18
b1c6212c-3f10-4520-9de4-fb360ab2e1c2,-11370,7522,-471,3203,0.01,0.92,-0.06,0.39,-178.3,-46.05,-7.89
fbccc5d4-b7cb-4efe-9ffd-1a12f076a19b,-11349,9220,-806,1109,0.01,0.99,-0.09,0.12,179.67,-13.75,-9.95
b444f5b3-29c9-43cf-b4af-17f121e6fe38,-11331,9726,-687,909,0.01,0.99,-0.07,0.09,179.23,-10.73,-8.01
7388191b-97ff-4918-9157-e093302effab,-11311,-9764,-2122,312,0.01,-0.98,-0.21,0.03,-177.76,3.17,24.58
e7b4ecf9-84ca-4e52-b114-c9fed6832b0c,-11290,-9189,-899,147,0.01,-1.0,-0.1,0.02,-178.32,1.67,11.2
5eb7c88c-84ed-4ada-9033-a7bd9dd37d3b,-11271,-8015,-2431,2592,0.01,-0.91,-0.28,0.3,-167.16,32.22,37.47
b270f996-e826-4219-a11a-4e9378886070,-11253,-4104,-5465,5917,0.01,-0.45,-0.6,0.65,-100.09,35.33,136.07
4c1a9aa9-ac5d-4a4b-afd8-30fc6d82f94d,-11234,-3691,-4319,6957,0.01,-0.41,-0.48,0.77,-75.17,38.6,147.89
0c9ce768-4aae-4a9e-8d58-2de0606bb000,-11214,-5247,-2395,5496,0.01,-0.66,-0.3,0.69,-96.35,64.24,107.72
f949aff0-a909-43ee-8359-105cd461dd45,-11195,-5633,-2562,5449,0.01,-0.68,-0.31,0.66,-106.43,63.46,98.54
83c496ca-e0aa-4f95-bc6c-3401b44b8448,-11178,-6029,-2163,3260,0.01,-0.84,-0.3,0.45,-153.37,48.85,51.74
70709e07-886d-4130-b951-89295e8c0754,-11155,-6040,-3042,3863,0.01,-0.78,-0.39,0.5,-141.24,49.37,71.83
cc51f26e-7705-4c3c-81ec-ee6d9a3ab941,-11136,-6258,-3396,4490,0.01,-0.74,-0.4,0.53,-133.76,51.48,80.24
94a89a14-65fd-483f-8b4b-8afcb6a4f7d2,-11118,-6410,-3183,3540,0.01,-0.8,-0.4,0.44,-148.32,44.54,66.07
d465ced5-8196-46c7-9077-33f45963f9c5,-11098,-4045,-4789,5490,0.01,-0.49,-0.57,0.66,-99.71,38.65,132.58
2664c47f-47ad-4690-adee-358746ed6441,-11079,-4516,-3613,5114,0.01,-0.58,-0.47,0.66,-100.89,49.7,119.19
9a926729-d962-4dea-a863-e3257bc0d7f6,-11060,-7460,-2291,2616,0.01,-0.91,-0.28,0.32,-165.89,34.67,38.57
19e9030d-51d4-49eb-94ae-1716f9678029,-11040,-9071,-1839,-2562,0.01,-0.94,-0.19,-0.27,174.83,-30.59,24.34
c2dbc11b-317e-4a60-bc9f-799da5fdf4cc,-11021,8174,2051,5378,0.01,0.82,0.21,0.54,150.12,-60.95,46.02
fcf7f020-d023-4e79-99c9-8a90d0172c79,-11003,7398,2656,6177,0.01,0.74,0.27,0.62,124.21,-65.16,76.87
5317326d-fa03-400d-8e54-4d539839035f,-10981,7725,4848,3953,0.01,0.78,0.49,0.4,149.17,-37.26,74.84
4b1cf50f-8c6c-481a-a672-825776f22905,-10963,6734,4982,5428,0.01,0.67,0.5,0.54,126.09,-46.12,97.42
eefed82f-1aad-4e1a-9b6d-a1b11f050f4d,-10944,7493,3688,5397,0.01,0.75,0.37,0.54,134.22,-53.93,76.66
d09fa1e8-9117-45a4-900c-5015e2b82ad8,-10924,5714,3074,7256,0.01,0.59,0.32,0.75,77.08,-60.1,128.54
cc4344f4-59ac-4730-98ab-fccc65f3db24,-10904,4637,1145,8480,0.01,0.48,0.12,0.87,22.74,-55.8,166.16
5c4f31b6-3b1f-47e4-9d4b-60bc371a71cf,-10885,3554,-4172,6195,0.01,0.43,-0.5,0.75,-80.69,-41.03,-146.7
115e785e-aa8c-41e9-82c9-529509320fe2,-10866,2029,-4142,5220,0.01,0.29,-0.59,0.75,-82.06,-26.86,-158.49
c9589746-66f8-4ac6-ad6e-11772191df0c,-10846,4608,-7065,3306,0.01,0.51,-0.78,0.36,-142.83,-23.02,-121.61
48b1b3c7-4c41-4971-9956-33c7fefbca98,-10828,4270,-4805,3503,0.01,0.58,-0.66,0.48,-131.47,-35.09,-112.97
0b025ac5-52a6-4298-b760-471a3fdb27d5,-10809,4190,-5355,4117,0.01,0.53,-0.67,0.52,-124.1,-34.28,-122.5
7fe82801-b3d7-4aea-8d91-dde14c853631,-10788,4754,-3712,1892,0.01,0.75,-0.59,0.3,-157.96,-27.72,-81.47
6f4cde4c-b97b-4a9e-8593-5e139cc609b3,-10769,4369,-5278,2913,0.01,0.59,-0.71,0.39,-142.11,-28.5,-110.73
c069329f-ef07-4d66-8b2b-932352332c21,-10751,4414,-3251,2937,0.01,0.71,-0.52,0.47,-139.34,-43.12,-89.4
e0c132e5-b950-4600-a071-5398b4bc3447,-10731,4339,-919,4267,0.01,0.7,-0.15,0.69,-101.5,-78.87,-91.72
497e280e-da6f-4a36-93a4-67377702df82,-10711,4081,5318,5148,0.01,0.48,0.63,0.61,108.32,-34.9,130.58
2bb1e2a3-8d24-47b9-9a67-053c67106041,-10693,5661,5865,3955,0.01,0.62,0.65,0.44,136.8,-31.94,104.96
89b1f2f1-2329-4fff-b50a-38acfdecd653,-10674,5357,6194,4689,0.01,0.57,0.66,0.5,127.2,-33.19,115.12
3717503b-f395-4352-a22b-cc0d8f0760b7,-10655,6808,5003,3835,0.01,0.73,0.54,0.41,144.8,-36.36,84.52
3f5dc648-818f-4e26-98d4-90d05388bd3e,-10634,8423,5198,1226,0.01,0.84,0.52,0.12,171.24,-11.21,64.22
9bc54e7e-a57c-49dc-a48a-9d1de020b2a3,-10615,-8077,-5660,259,0.01,-0.82,-0.57,0.03,-177.09,1.63,70.08
39027345-36b5-43ff-b6db-d954afc3ac0c,-10598,-7544,-5813,1253,0.01,-0.79,-0.61,0.13,-169.58,10.93,76.23
fc8acad3-c2be-4240-9225-3fe754c0ff41,-10576,-6848,-5874,3681,0.01,-0.7,-0.6,0.38,-146.48,31.04,90.81
c0748330-4f49-45b1-bb47-91dd230f41d6,-10557,-4081,-6335,6558,0.01,-0.41,-0.63,0.66,-99.29,31.35,141.25
88a7e666-1818-41d3-8bfa-94ab0931c7cb,-10539,-3623,-6974,6090,0.01,-0.36,-0.7,0.61,-106.03,25.39,144.35
f749fa23-c19b-44e1-88f1-fc769db1140d,-10520,-1464,-6247,7619,0.01,-0.15,-0.63,0.76,-79.97,12.07,167.99
bc4051d9-75f8-4c60-a602-f7c567a87428,-10500,-2659,-3128,8598,0.01,-0.28,-0.33,0.9,-43.63,29.69,166.29
67c8e703-6503-4e39-b6c2-7e1a547e2196,-10481,-2114,-3245,8460,0.01,-0.23,-0.35,0.91,-44.39,23.85,168.57
81ad11a9-6299-4ea7-902b-1da39ab54f79,-10461,-2364,-2172,8677,0.01,-0.26,-0.23,0.94,-30.47,28.25,170.63
8e212794-7ac4-45fc-a2da-03f28b747df3,-10443,-2102,-876,9358,0.01,-0.22,-0.09,0.97,-11.59,24.95,175.96
059086cb-a8d8-4866-8685-fefd9777cd4b,-10423,-1028,1485,8991,0.01,-0.11,0.16,0.98,18.84,12.93,-179.3
345bc4c4-47b9-4af6-8f02-3e977a287eed,-10404,-152,4112,8114,0.01,-0.02,0.45,0.89,53.74,2.35,179.59
8bfef240-9064-4a47-8902-aeac7e9caed1,-10385,-936,4972,7773,0.01,-0.1,0.54,0.84,65.68,10.51,-174.9
169d4bf3-a9fb-44f4-9617-e7a55ace015a,-10365,-3292,6752,6425,0.01,-0.33,0.68,0.65,99.98,26.73,-150.58
ad609da7-2e34-47ce-a8aa-5b0926f50d3f,-10346,-1011,2907,8714,0.01,-0.11,0.31,0.94,37.19,12.36,-177.34
4d22cf45-05e2-4519-92a6-e3ec8e5efa62,-10328,755,1939,8616,0.01,0.09,0.22,0.97,25.65,-9.22,176.44
cd031b41-224a-4b16-8e01-6d407b22bbf3,-10306,1299,-361,9314,0.01,0.14,-0.04,0.99,-4.32,-15.91,179.17
61fb9dfd-2c13-422f-9801-4f5d413dd874,-10288,593,-751,7837,0.01,0.08,-0.1,0.99,-10.9,-8.71,179.41
09d41f94-4645-4bf0-ac7c-5f438073036d,-10269,1809,-2301,7622,0.01,0.22,-0.28,0.93,-35.02,-24.87,-173.56
08d2fa45-79cc-4907-ab85-a19483cdc777,-10248,3150,-3571,6932,0.01,0.37,-0.42,0.82,-62.54,-38.89,-157.51
4779334e-cb05-4b3a-b45d-a49f7bc3de8e,-10229,3575,-4338,6873,0.01,0.4,-0.49,0.77,-75.11,-39.44,-151.01
ccc4c89c-9d2a-4332-a2e0-3251cb374523,-10210,1746,-6406,6280,0.01,0.19,-0.7,0.69,-93.31,-16.25,-164.85
6ffdfb3b-20d8-4460-8139-0eaad9d68a10,-10190,375,-7466,5639,0.01,0.04,-0.8,0.6,-105.97,-3.89,-177.18
2cc3804c-5c3f-47c6-8648-68c8a8845f13,-10174,814,-7408,5610,0.01,0.09,-0.79,0.6,-106.18,-7.15,-172.83
433ecb23-4968-4f7b-888b-ed6e4d964516,-10154,-142,-8152,4647,0.01,-0.02,-0.87,0.5,-120.62,-0.36,177.8
f3cab28c-afda-49ce-a3a1-4056d2a746dd,-10134,-1740,-9349,2519,0.01,-0.18,-0.95,0.26,-150.52,3.86,159.93
7c2eb9f5-06a9-4449-85d8-b0d6b1b08e18,-10114,-2569,-9195,2956,0.01,-0.26,-0.92,0.3,-146.28,7.44,151.04
823b4a2d-d0b1-42be-9715-b37e6851db3a,-10095,-3046,-9490,-792,0.01,-0.3,-0.95,-0.08,171.76,-4.1,144.71
e151a630-6d6d-4328-a3c4-4ddeeea5e811,-10075,-2866,-8907,-3126,0.01,-0.29,-0.9,-0.32,144.73,-11.9,148.12
7cdd952e-ef7c-4991-96a3-e44bf406e583,-10055,5005,8573,1067,0.01,0.5,0.86,0.11,168.67,-4.94,119.94
50b62c3a-71aa-4744-84c6-1e288363f38e,-10036,-5117,-7386,-3091,0.01,-0.54,-0.78,-0.33,148.0,-21.67,116.85
73c03a45-3b99-45b8-8bae-eea61c398f8a,-10018,-5785,-7533,-3121,0.01,-0.58,-0.75,-0.31,150.45,-22.31,110.91
116c4fd7-a7c8-419d-a6e6-b8c680609351,-9996,3704,8448,3152,0.01,0.38,0.87,0.32,144.23,-12.98,136.86
a96077fb-5357-4eb4-9b98-1f9b8408f73d,-9978,3474,8479,3121,0.01,0.36,0.88,0.32,144.09,-12.13,139.38
411564ab-7675-4035-b462-ea8286dded29,-9959,1837,8801,2564,0.01,0.2,0.94,0.27,148.47,-4.87,157.8
6993e899-9a57-4358-81c9-29d206a01d6f,-9939,937,8194,1207,0.01,0.11,0.98,0.14,163.3,-0.5,167.03
2ae30fed-8080-4929-aa96-769c20fedfc3,-9921,-1406,8064,1366,0.01,-0.17,0.97,0.16,161.53,4.55,-160.96
75cf5db4-00ee-48d2-ae23-a67f77651640,-9901,-3340,7544,2164,0.01,-0.39,0.88,0.25,153.24,12.71,-135.27
06534786-0cc9-4848-be3d-7cffb5c69de6,-9881,-3331,6992,3553,0.01,-0.39,0.82,0.42,134.02,20.23,-137.71
1908f838-5467-4471-ac28-c814a8986083,-9864,-4162,6497,5111,0.01,-0.45,0.7,0.55,117.02,30.9,-133.93
3814f0ec-268f-4016-be1c-0fb8bb7c6548,-9843,-4599,5088,6724,0.01,-0.48,0.53,0.7,91.54,43.09,-137.82
3607040e-f09b-4774-a01e-4282af6b402d,-9823,-2032,1257,9213,0.01,-0.21,0.13,0.97,15.99,24.61,-177.91
d95778a4-d01e-4c72-957f-76840138ada2,-9804,-209,-1400,9553,0.01,-0.02,-0.14,0.99,-16.71,2.25,178.28
44700557-8aad-4bfd-a136-a50e0c0d9065,-9785,1518,-3615,8826,0.01,0.16,-0.37,0.91,-45.42,-17.23,-174.25
506cd362-ded6-4c4b-9e31-30c0d59bc69b,-9765,2412,-4257,8193,0.01,0.25,-0.45,0.86,-58.03,-26.4,-166.78
f10d84fc-9276-4ee4-a1fc-217432da0049,-9748,1728,-4328,8425,0.01,0.18,-0.45,0.87,-55.81,-18.95,-171.46
004b3d21-70bb-41dd-9cb0-5df16377dcd9,-9729,677,-4592,8641,0.01,0.07,-0.47,0.88,-56.14,-7.63,-177.48
e69c6be0-e022-4155-86e7-35d9b4d14efe,-9706,3777,-4548,7092,0.01,0.41,-0.49,0.77,-76.44,-39.8,-149.96
a0fce98e-b7b5-4151-a312-547755838248,-9690,2973,-4959,6934,0.01,0.33,-0.55,0.77,-77.86,-31.26,-156.32
9a2bc8b2-185f-4151-bbad-59f367f2a041,-9669,212,-4822,8557,0.01,0.02,-0.49,0.87,-58.8,-2.83,-179.98
f9185fac-19b8-410c-9958-ce852e4c68f3,-9648,2619,1418,-9106,0.01,0.27,0.15,-0.95,-18.81,31.54,176.08
535dafff-2113-4d4d-90de-92e4504c14b5,-9629,-916,-5026,8590,0.01,-0.09,-0.5,0.86,-61.14,8.37,173.46
1b448e74-516f-4332-83f7-73cafad896d9,-9610,-993,-4080,8993,0.01,-0.1,-0.41,0.91,-49.33,9.88,173.95
9bc62a27-8cf6-43de-9b33-a1cdb0a065e3,-9591,949,-5389,8010,0.01,0.1,-0.56,0.83,-68.32,-10.06,-174.81
02034bc5-3d9b-4c53-8bff-5eeb01a7ba44,-9571,2399,-6244,6696,0.01,0.25,-0.66,0.71,-89.93,-21.98,-159.97
d417c6f8-34da-46ec-a7a9-12c2b7422b19,-9554,627,-6360,6963,0.01,0.07,-0.67,0.74,-85.05,-6.53,-175.85
9476b905-2b79-4b0c-a32f-3a505595ceb4,-9534,-349,-6693,7371,0.01,-0.04,-0.67,0.74,-84.55,2.06,176.3
8abaa1d9-a6d5-420f-bdae-5605ce21793b,-9513,1152,3961,-8697,0.01,0.12,0.41,-0.9,-49.49,13.06,175.46
84ac1bff-5cc1-4b4e-b771-27cf6810e3ae,-9494,1441,2275,-9136,0.01,0.15,0.24,-0.96,-28.42,17.21,177.02
6084d5f4-39e3-421e-a5b4-788ea602f5ba,-9478,1462,2372,-9232,0.01,0.15,0.25,-0.96,-29.29,17.22,176.88
2dd1fc09-4824-4c72-bacd-54dff0720941,-9456,1589,2855,-9412,0.01,0.16,0.29,-0.94,-34.41,17.94,175.83
cdd6a3d1-6321-4605-af57-e196510693d3,-9436,-369,4144,-9050,0.01,-0.04,0.42,-0.91,-49.29,-3.3,-177.0
ecf21c69-144e-4085-84ef-b510d9a8347e,-9418,-1031,6302,-7564,0.01,-0.1,0.64,-0.76,-80.23,-8.29,-171.25
ae1f5f6b-17b8-484d-8746-573b19d5e69e,-9399,2544,-8405,4681,0.01,0.26,-0.84,0.47,-125.25,-15.09,-154.17
14d6c71a-4bd2-44d6-a6d9-834666b1db7a,-9379,4531,-8089,2428,0.01,0.47,-0.84,0.25,-154.45,-15.03,-124.92
3908a1d4-c3aa-4ab0-ae79-a886e9d4aa1c,-9359,6205,-6872,663,0.01,0.67,-0.74,0.07,-174.8,-6.48,-96.13
5eaaa048-2a6d-4185-a61d-19c1fd685f10,-9340,6745,-6301,-552,0.01,0.73,-0.68,-0.06,174.34,4.08,-86.3
2e6f75a8-b586-4daf-a871-0882ba639852,-9321,6607,-6217,-2269,0.01,0.71,-0.66,-0.24,158.97,19.1,-90.09
2601ecdf-c9c5-4f9b-9b76-c835e728dc47,-9303,5821,-6662,-2737,0.01,0.63,-0.72,-0.3,151.94,20.78,-102.95
77c2e591-d149-4793-9944-0c08d86a52c8,-9282,3409,-8117,2035,0.01,0.38,-0.9,0.23,-156.22,-11.0,-136.76
f0bf7435-0599-4ab5-b021-8d5d1427ca94,-9263,104,-4784,8682,0.01,0.01,-0.48,0.88,-57.7,-1.7,179.41
f4f06d5f-3b36-4cad-aa66-f8d62f69fadb,-9243,-179,-4416,8823,0.01,-0.02,-0.45,0.89,-53.2,1.26,177.88
e39badae-462b-402a-93ff-6fcc00674413,-9224,771,-5837,7471,0.01,0.08,-0.61,0.79,-76.34,-8.14,-175.3
909572ec-9114-44ca-83fb-0b3b1bb879c1,-9205,-1710,-1882,9594,0.01,-0.17,-0.19,0.97,-23.1,19.19,174.67
3c3d032a-3801-40ec-8ba7-aa05d66c018d,-9185,-3937,1606,9039,0.01,-0.39,0.16,0.9,23.84,45.8,-171.28
0625d9a2-0b60-46d4-acfe-bd21cc3ffb27,-9166,-4128,2966,8399,0.01,-0.42,0.3,0.86,47.55,46.58,-160.08
8040d266-f7a9-47ee-bac0-27cce0f1ab6d,-9146,-3626,3849,7945,0.01,-0.38,0.4,0.83,59.77,39.93,-158.01
0fb7083f-711e-4cd1-8d31-729b37194188,-9128,-2312,3493,8347,0.01,-0.25,0.37,0.89,47.95,26.82,-169.38
1362bce9-e050-48cb-9d5c-296209c8eb8e,-9109,-4044,5575,7145,0.01,-0.41,0.56,0.72,87.36,36.85,-146.55
128ab657-bb71-430a-95b8-c98eb3482c4e,-9088,4264,-8063,-3927,0.01,0.43,-0.81,-0.4,136.5,18.71,-131.78
b7dfc601-bb4c-4e01-b91e-b5388de8660b,-9069,3294,-8821,-3364,0.01,0.33,-0.88,-0.34,142.14,11.61,-143.04
69910033-c3d3-49ca-a414-3b0249580e44,-9050,-3139,9011,2877,0.01,-0.31,0.9,0.29,148.29,11.69,-144.92
6922f8ea-19b4-42d0-8366-f12bef8a6d57,-9029,-1252,3831,8740,0.01,-0.13,0.4,0.91,47.95,14.2,-175.11
a555aac5-05fe-4b4a-95a8-23dac9908f7f,-9010,534,925,8516,0.01,0.06,0.11,0.99,12.53,-6.95,177.91
20d0a11a-7346-4ca8-abb3-97a6021279c0,-8993,1218,-1150,8613,0.01,0.14,-0.13,0.98,-15.33,-15.99,-179.18
43ffb82e-45c9-4259-991c-b3f9c8b5ab88,-8971,2330,-4086,7384,0.01,0.27,-0.47,0.84,-61.57,-27.36,-165.06
ea92bf8b-f6a9-4b4a-8928-dc63d2dd6463,-8953,2858,-5458,6485,0.01,0.32,-0.61,0.72,-86.65,-28.5,-154.87
e3e9bf63-6e15-4608-b307-cc119c517074,-8934,3145,-6180,5804,0.01,0.35,-0.68,0.64,-101.44,-27.52,-148.71
e63d6008-e94a-4216-ba49-87a065206bb5,-8915,3294,-6392,5509,0.01,0.36,-0.71,0.61,-107.02,-27.28,-145.83
99fe267f-f9bf-4bad-9dec-09e8b3be3d02,-8894,3452,-6625,5189,0.01,0.38,-0.73,0.57,-112.99,-26.72,-142.82
d68ec604-6f80-4cfe-bbf9-af730a807e4d,-8875,3790,-7051,4695,0.01,0.41,-0.76,0.51,-122.72,-25.5,-137.57
094ab177-6499-438d-9fc9-51cf22ff195f,-8856,4196,-7641,3837,0.01,0.44,-0.8,0.4,-136.7,-21.91,-131.24
e00b19bf-60a5-481a-a560-fb4644ebb554,-8836,4410,-8104,3103,0.01,0.45,-0.83,0.32,-146.84,-17.93,-128.27
f5f7e1de-119f-4945-b5b7-2aaf8d0da7be,-8816,2862,-8941,3099,0.01,0.29,-0.9,0.31,-145.1,-11.66,-148.18
0058a59f-197c-44df-b1f0-64919fd959a8,-8798,-2402,-8977,3665,0.01,-0.24,-0.9,0.37,-137.7,8.97,153.52
1f6368f5-325b-4e91-878f-190edec1cead,-8779,4706,6291,-6184,0.01,0.47,0.63,-0.62,-107.0,36.62,133.92
31543be5-7b0c-4720-8427-8c607f8542fe,-8760,-2220,297,9478,0.01,-0.23,0.03,0.97,3.47,26.38,179.48
4dee3177-efa0-43d0-8fbf-04975d8e0e76,-8740,129,5948,7178,0.01,0.01,0.64,0.77,79.3,-0.39,177.99
87812ed6-b72b-4449-a8ff-72b63424351b,-8720,-566,8601,4061,0.01,-0.06,0.9,0.43,129.65,4.08,-174.39
6a54e606-f29c-4cdd-aa50-312c87b5dd13,-8701,-237,8860,3051,0.01,-0.03,0.95,0.33,142.04,2.17,-177.68
473ee600-d298-4ac1-8ecd-a80a34871928,-8686,477,8547,1622,0.01,0.05,0.98,0.19,158.5,0.1,173.59
660d6fd0-e788-46ac-a3e6-d2186142e0d0,-8665,1345,6854,1940,0.01,0.19,0.95,0.27,149.22,-4.47,159.03
88921b86-90f1-416f-94ca-05f41b5354fe,-8644,1025,1223,4190,0.01,0.23,0.27,0.93,34.59,-24.9,170.75
6d490743-2941-4a87-9141-dacce52fe41e,-8624,44,-4362,3881,0.01,0.01,-0.75,0.66,-96.68,-1.54,179.79
84adaae7-7192-47c4-9f2d-09df50d62307,-8604,-1457,-6685,3346,0.01,-0.19,-0.88,0.44,-128.36,8.53,159.54
57c10202-f91e-4c53-98de-9deb3ceb49cf,-8586,-2145,-8127,3002,0.01,-0.24,-0.91,0.34,-141.38,8.11,153.28
b6449a48-7251-44c8-a057-0f1c4b0b01fb,-8565,-2419,-7630,3708,0.01,-0.27,-0.86,0.42,-131.4,12.18,150.34
90180a3c-ff99-4f29-8d81-bedf4c361b08,-8546,-2130,-7097,3314,0.01,-0.26,-0.87,0.41,-132.8,11.22,151.5
83305d65-94b3-4772-ae2c-3c97d11345ff,-8526,-2278,-7179,3431,0.01,-0.28,-0.87,0.41,-132.13,12.05,150.15
539cb12c-953a-4896-a94c-bc5e5cc77b5d,-8507,-3142,-4037,4824,0.01,-0.45,-0.57,0.69,-94.19,36.88,138.65
4bf90a8f-f656-4184-9da9-5f1fa3d1cfb8,-8489,-1340,-180,5770,0.01,-0.23,-0.03,0.97,-4.1,26.08,177.73
7193ba7f-0d76-452f-9b65-30d6340ae0b6,-8469,67,2518,4986,0.01,0.01,0.45,0.89,53.6,-0.65,178.24
8b233fa1-e4ea-46e8-81ab-8c3b57d1cb79,-8449,-623,3571,3905,0.01,-0.12,0.67,0.73,85.66,10.74,-171.79
5c8f3ddd-8628-4a23-89c7-5de693c354cd,-8430,-1317,2225,2640,0.01,-0.36,0.6,0.71,88.59,31.51,-151.01
d351ec30-6805-4c0a-8a6d-0166e162c6fd,-8410,-2678,-2072,926,0.01,-0.76,-0.59,0.26,-159.11,22.91,79.74
b6193e69-d6c1-48cc-bf37-b07a062601ff,-8391,-3421,-5534,-696,0.01,-0.52,-0.85,-0.11,170.23,-7.47,117.19
ec013e1b-1cff-4705-9264-b3352006e62d,-8373,-5083,-6694,-304,0.01,-0.6,-0.8,-0.04,177.47,-3.52,105.66
c56fbd28-49eb-4740-927b-75b6a823c205,-8353,-6909,-5196,846,0.01,-0.8,-0.6,0.1,-172.21,8.14,74.45
e993db62-13e8-4325-a069-b722124bc03e,-8334,-5830,-101,4943,0.01,-0.76,-0.01,0.65,-168.25,80.38,11.92
61895784-71f5-44f0-8133-0e7860de7bf6,-8315,-4107,355,5221,0.01,-0.62,0.05,0.78,16.8,75.97,-168.47
79277862-6ad4-4cce-9794-b7260ab3bdbd,-8296,-4055,922,5374,0.01,-0.6,0.14,0.79,38.73,71.23,-153.34
fddc7582-6c4c-46c4-a291-ec33c599c68b,-8275,-3736,3397,5127,0.01,-0.52,0.47,0.71,88.67,48.6,-134.17
8146fe6a-62df-45a0-a2dc-aceeb710b5f2,-8256,-3959,2168,2182,0.01,-0.79,0.43,0.44,149.97,44.18,-69.83
8a55cb14-518f-4037-97e5-da771f796109,-8238,-5425,-1567,-1356,0.01,-0.93,-0.27,-0.23,173.26,-26.24,33.8
2189a709-0896-4168-a44b-f551938fa570,-8216,-7141,-2534,-1689,0.01,-0.92,-0.33,-0.22,172.34,-24.04,40.71
01db9fe8-f81a-43bd-bdbd-e2b88c37d1c9,-8198,-9415,-2833,-984,0.01,-0.95,-0.29,-0.1,177.89,-11.31,33.7
309d0999-d942-421a-b46f-c6b44154a265,-8179,9060,1033,3072,0.01,0.94,0.11,0.32,173.6,-36.78,15.14
b007bb5d-3adf-4309-afff-b962aaeb963c,-8159,6955,-592,5988,0.01,0.76,-0.06,0.65,-156.16,-80.44,-29.97
70375d43-8741-4527-8f86-c0d43c62c1fd,-8140,2965,-1091,7810,0.01,0.35,-0.13,0.93,-17.91,-40.94,-174.63
01457198-9daf-4a02-a6f7-6c4719f72485,-8121,2627,-2540,6459,0.01,0.35,-0.34,0.87,-48.78,-38.58,-163.41
0f528e08-1d95-4fc2-a52f-881af988850a,-8101,1275,-3632,5771,0.01,0.18,-0.52,0.83,-66.1,-18.5,-169.42
31cba4fc-9145-4aea-ae0c-1c870babc827,-8082,845,-3754,5282,0.01,0.13,-0.57,0.81,-71.67,-12.8,-172.29
b136fda8-7238-4ced-be39-be8e285d3844,-8064,547,-3761,2795,0.01,0.12,-0.8,0.59,-107.55,-8.91,-169.98
73c1a122-a08f-4a97-a6ea-337c1aeedee9,-8044,-3539,-2858,-786,0.01,-0.77,-0.62,-0.17,168.36,-15.94,79.48
1847b17f-9e74-4bbf-8f62-6fb757c0a54b,-8026,-5525,1637,-1358,0.01,-0.93,0.28,-0.23,-170.65,-24.96,-35.08
18cd62c1-ab14-48a7-8825-1c1658439dd1,-8007,-2806,8346,1205,0.01,-0.32,0.94,0.14,165.57,6.09,-143.61
75ce29d0-d11e-4a2c-a3ee-941ce0ae0f47,-7986,2158,9524,1784,0.01,0.22,0.96,0.18,159.51,-3.28,155.06
da27b9c5-24f3-459f-bf3e-64a7963bac8a,-7965,5237,8287,-972,0.01,0.53,0.84,-0.1,-171.05,7.08,115.97
c6e19401-7ec8-4ba3-91f4-23b6200691c5,-7946,5700,7365,-1258,0.01,0.61,0.78,-0.13,-168.47,10.34,105.57
8f17452d-4013-44e3-b7bc-4c6cfe79be03,-7928,261,2060,1246,0.01,0.11,0.85,0.51,118.19,-5.3,168.73
02b1a45a-d7b4-4046-8b07-f8761040c3ed,-7907,-3815,-4796,1053,0.01,-0.61,-0.77,0.17,-163.76,11.01,104.57
e7df2d3a-6e89-4d76-9c42-123f2669eafd,-7889,-5649,-7018,568,0.01,-0.63,-0.78,0.06,-173.59,3.55,102.54
887f6757-98f1-49ad-a316-8d6a9ce7f6be,-7870,-7044,-6819,1512,0.01,-0.71,-0.69,0.15,-166.72,11.63,89.5
e5423ca7-d12e-43c0-934f-987708430293,-7850,-8054,-4404,3927,0.01,-0.81,-0.44,0.39,-152.17,38.68,67.28
88d8f306-a77e-4290-9bd4-deb8c7d9c0f9,-7830,-5474,-1780,6951,0.01,-0.61,-0.2,0.77,-59.52,68.42,135.9
6214183f-1485-4e82-bd65-0377d683da84,-7815,-2135,-511,7440,0.01,-0.28,-0.07,0.96,-8.95,31.77,176.15
36ca675e-68cf-4b69-a3c2-dec419618979,-7793,1849,2039,5454,0.01,0.3,0.33,0.89,45.4,-32.22,164.83
b69007ae-5249-4101-a7f2-7cc8ebe6f589,-7773,2703,1268,3699,0.01,0.57,0.27,0.78,63.71,-61.53,137.81
89e0e389-815c-4834-964e-cd8f37709528,-7754,2408,873,2875,0.01,0.63,0.23,0.75,71.89,-68.26,125.99
